sim_t,client,soc,temp,throttled,alive,ul,dl,power_W,scale
2.9,3,0.522274,48.6009,1,1,19.2131,19.2131,16.614,1
2.9,4,0.291316,42.6244,1,1,8.42535,8.42535,7.80031,1
2.9,5,0.202274,48.6009,1,1,19.2131,19.2131,16.614,1
2.9,6,0.784351,42.6244,1,1,8.42535,8.42535,7.80031,1
2.9,7,0.9,48.6009,1,1,19.2131,19.2131,16.614,1
3,0,0.219244,49.3526,1,1,17.6514,17.6514,15.268,1
3,1,0.169244,49.3526,1,1,17.6514,17.6514,15.268,1
3,2,0.489392,43.058,1,1,10.8866,10.8866,9.69748,1
3,3,0.519244,49.3526,1,1,17.6514,17.6514,15.268,1
3,4,0.289392,43.058,1,1,10.8866,10.8866,9.69748,1
3,5,0.199244,49.3526,1,1,17.6514,17.6514,15.268,1
3,6,0.783838,43.058,1,1,10.8866,10.8866,9.69748,1
3,7,0.9,49.3526,1,1,17.6514,17.6514,15.268,1
3.1,0,0.216188,50.1019,1,1,17.8086,17.8086,15.4026,1
3.1,1,0.166188,50.1019,1,1,17.8086,17.8086,15.4026,1
3.1,2,0.488687,43.0237,1,1,2.29661,2.29661,3.55608,1
3.1,3,0.516188,50.1019,1,1,17.8086,17.8086,15.4026,1
3.1,4,0.288687,43.0237,1,1,2.29661,2.29661,3.55608,1
3.1,5,0.196188,50.1019,1,1,17.8086,17.8086,15.4026,1
3.1,6,0.78365,43.0237,1,1,2.29661,2.29661,3.55608,1
3.1,7,0.9,50.1019,1,1,17.8086,17.8086,15.4026,1
3.2,0,0.213515,50.6939,1,1,15.5275,15.5275,13.4707,1
3.2,1,0.163515,50.6939,1,1,15.5275,15.5275,13.4707,1
3.2,2,0.486861,43.4135,1,1,10.2545,10.2545,9.20252,1
3.2,3,0.513515,50.6939,1,1,15.5275,15.5275,13.4707,1
3.2,4,0.286861,43.4135,1,1,10.2545,10.2545,9.20252,1
3.2,5,0.193515,50.6939,1,1,15.5275,15.5275,13.4707,1
3.2,6,0.783163,43.4135,1,1,10.2545,10.2545,9.20252,1
3.2,7,0.9,50.6939,1,1,15.5275,15.5275,13.4707,1
3.3,0,0.210203,51.5177,1,1,19.3055,19.3055,16.6942,1
3.3,1,0.160203,51.5177,1,1,19.3055,19.3055,16.6942,1
3.3,2,0.484833,43.873,1,1,11.5452,11.5452,10.2185,1
3.3,3,0.510203,51.5177,1,1,19.3055,19.3055,16.6942,1
3.3,4,0.284833,43.873,1,1,11.5452,11.5452,10.2185,1
3.3,5,0.190203,51.5177,1,1,19.3055,19.3055,16.6942,1
3.3,6,0.782622,43.873,1,1,11.5452,11.5452,10.2185,1
3.3,7,0.9,51.5177,1,1,19.3055,19.3055,16.6942,1
3.4,0,0.207613,52.0548,1,1,15.0276,15.0276,13.0536,1
3.4,1,0.157613,52.0548,1,1,15.0276,15.0276,13.0536,1
3.4,2,0.482063,44.6054,1,1,16.1099,16.1099,13.9596,1
3.4,3,0.507613,52.0548,1,1,15.0276,15.0276,13.0536,1
3.4,4,0.282063,44.6054,1,1,16.1099,16.1099,13.9596,1
3.4,5,0.187613,52.0548,1,1,15.0276,15.0276,13.0536,1
3.4,6,0.781884,44.6054,1,1,16.1099,16.1099,13.9596,1
3.4,7,0.9,52.0548,1,1,15.0276,15.0276,13.0536,1
3.5,0,0.204205,52.8921,1,1,19.8601,19.8601,17.1773,1
3.5,1,0.154205,52.8921,1,1,19.8601,19.8601,17.1773,1
3.5,2,0.479895,45.0984,1,1,12.4345,12.4345,10.9301,1
3.5,3,0.504205,52.8921,1,1,19.8601,19.8601,17.1773,1
3.5,4,0.279895,45.0984,1,1,12.4345,12.4345,10.9301,1
3.5,5,0.184205,52.8921,1,1,19.8601,19.8601,17.1773,1
3.5,6,0.781305,45.0984,1,1,12.4345,12.4345,10.9301,1
3.5,7,0.9,52.8921,1,1,19.8601,19.8601,17.1773,1
3.6,0,0.201051,53.6195,1,1,18.3834,18.3834,15.8964,1
3.6,1,0.151051,53.6195,1,1,18.3834,18.3834,15.8964,1
3.6,2,0.477119,45.8125,1,1,16.1431,16.1431,13.9875,1
3.6,3,0.501051,53.6195,1,1,18.3834,18.3834,15.8964,1
3.6,4,0.277119,45.8125,1,1,16.1431,16.1431,13.9875,1
3.6,5,0.181051,53.6195,1,1,18.3834,18.3834,15.8964,1
3.6,6,0.780565,45.8125,1,1,16.1431,16.1431,13.9875,1
3.6,7,0.9,53.6195,1,1,18.3834,18.3834,15.8964,1
3.7,0,0.198227,54.2099,1,1,16.4332,16.4332,14.2323,1
3.7,1,0.148227,54.2099,1,1,16.4332,16.4332,14.2323,1
3.7,2,0.474255,46.5484,1,1,16.6756,16.6756,14.4373,1
3.7,3,0.498227,54.2099,1,1,16.4332,16.4332,14.2323,1
3.7,4,0.274255,46.5484,1,1,16.6756,16.6756,14.4373,1
3.7,5,0.178227,54.2099,1,1,16.4332,16.4332,14.2323,1
3.7,6,0.779801,46.5484,1,1,16.6756,16.6756,14.4373,1
3.7,7,0.9,54.2099,1,1,16.4332,16.4332,14.2323,1
3.8,0,0.195063,54.919,1,1,18.4393,18.4393,15.9446,1
3.8,1,0.145063,54.919,1,1,18.4393,18.4393,15.9446,1
3.8,2,0.471167,47.3565,1,1,17.9955,17.9955,15.5629,1
3.8,3,0.495063,54.919,1,1,18.4393,18.4393,15.9446,1
3.8,4,0.271167,47.3565,1,1,17.9955,17.9955,15.5629,1
